plate	sample	acquisition	A_cleavage_1	SN_A_cleavage_1	A_cleavage_2	SN_A_cleavage_2	A_intact	SN_A_intact	B_cleavage_1	SN_B_cleavage_1	B_cleavage_2	SN_B_cleavage_2	B_intact	SN_B_intact	E_cleavage_1	SN_E_cleavage_1	E_cleavage_2	SN_E_cleavage_2	E_intact	SN_E_intact	F_cleavage_1	SN_F_cleavage_1	F_cleavage_2	SN_F_cleavage_2	F_intact	SN_F_intact	F5_cleavage_1	SN_F5_cleavage_1	F5_cleavage_2	SN_F5_cleavage_2	F5_intact	SN_F5_intact
157016	PC-B	1	.	.	2306.7956303590377	97.278475573513177	.	.	1760.7608797940011	397.69766953399119	2284.5561413358851	1344.4036855517199	4026.0530014484589	1550.651614496438	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	PC-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	PC-E	1	.	.	.	.	.	.	.	.	.	.	.	.	1133.2121534156497	32.604517937116483	2501.7268306717224	221.15576732536485	3615.8957206915488	939.13261150763492	.	.	3787.2106264154158	28.585675664673289	.	.	.	.	.	.	.	.
157016	PC-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	PC-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1346.8291029957711	164.41014516555126	3785.074141216814	525.80581146697011	.	.	.	.	.	.	5112.8542869365856	437.26819780522362
157016	PC-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	PT-1A	1	998.95357186212107	332.77802099682668	2307.3740744263964	799.90645990919393	3287.8906864955002	63.288785984270866	.	.	.	.	.	.	.	.	2496.5728930360406	21.506029253278452	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	PT-1A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	PT-1B	1	.	.	.	.	.	.	.	.	.	.	4026.5432131929515	1564.8134715017609	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	PT-1B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	PT-1E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3615.8772054376072	1044.0398606817346	.	.	3787.1028924153547	30.691465551414066	.	.	.	.	.	.	.	.
157016	PT-1E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	PT-1F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5112.367147721694	560.58779995908299
157016	PT-1F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
